\\10.23.0.9\Work - Dsystems\ПРОЕКТЫ\Испытания Дагестанский ППУ\Испытания на вибростоле\2023-07-28\SR11\2.EDT
28/07/23,09:04:49
VIN: 000218BF	FSmp: 1500.0
T[sec]	X[м/с2]	Y[м/с2]	
0.000000	-0.585209	0.220612	
0.000667	0.460923	0.219179	
0.001333	0.499221	0.164445	
0.002000	0.809511	0.0736086	
0.002667	0.650524	-0.0631497	
0.003333	0.0271687	-0.206037	
0.004000	0.433358	-0.324195	
0.004667	-0.110047	-0.43662	
0.005333	0.326634	-0.509345	
0.006000	0.0450067	-0.572311	
0.006667	-0.190394	-0.599663	
0.007333	-0.236712	-0.583228	
0.008000	-0.238542	-0.525871	
0.008667	0.103583	-0.441621	
0.009333	-0.104253	-0.353894	
0.010000	-0.0663819	-0.249611	
0.010667	0.0982769	-0.141332	
0.011333	-0.0654671	-0.0425978	
0.012000	-0.348345	0.0600395	
0.012667	-0.0855616	0.170422	
0.013333	-0.16042	0.266595	
0.014000	-0.0917515	0.351821	
0.014667	0.142918	0.413842	
0.015333	-0.166854	0.444731	
0.016000	-0.203171	0.466289	
0.016667	-0.00497026	0.474614	
0.017333	-0.013874	0.457751	
0.018000	-0.0187528	0.421039	
0.018667	0.103887	0.3685	
0.019333	-0.0132337	0.293611	
0.020000	-0.401737	0.221405	
0.020667	-0.0392132	0.167342	
0.021333	-0.13996	0.107912	
0.022000	0.161183	0.0544289	
0.022667	0.315017	-0.0153682	
0.023333	0.11642	-0.0949837	
0.024000	0.478669	-0.171398	
0.024667	0.203506	-0.262692	
0.025333	0.0495501	-0.336148	
0.026000	0.449823	-0.393809	
0.026667	-0.0652842	-0.451927	
0.027333	0.183899	-0.474339	
0.028000	-0.136331	-0.48553	
0.028667	-0.28614	-0.455404	
0.029333	0.434394	-0.399145	
0.030000	-0.169172	-0.356334	
0.030667	-0.230004	-0.283183	
0.031333	-0.269644	-0.188565	
0.032000	-0.220399	-0.0799815	
0.032667	-0.495318	0.0370787	
0.033333	-0.157005	0.170879	
0.034000	-0.2669	0.287574	
0.034667	-0.230522	0.396218	
0.035333	0.181917	0.483944	
0.036000	0.0693396	0.527396	
0.036667	0.244	0.53816	
0.037333	0.261472	0.507515	
0.038000	0.44711	0.439944	
0.038667	-0.136728	0.336361	
0.039333	-0.490226	0.249336	
0.040000	-0.219911	0.187406	
0.040667	-0.202042	0.130721	
0.041333	0.0626008	0.0810182	
0.042000	0.0760175	0.0193627	
0.042667	0.156761	-0.0424454	
0.043333	0.352736	-0.10898	
0.044000	0.558041	-0.190821	
0.044667	0.370055	-0.287177	
0.045333	0.346942	-0.378136	
0.046000	0.114529	-0.459246	
0.046667	0.185546	-0.512546	
0.047333	0.223875	-0.549015	
0.048000	0.147827	-0.56853	
0.048667	-0.140295	-0.564383	
0.049333	-0.546728	-0.516083	
0.050000	-0.295898	-0.415641	
0.050667	-0.500593	-0.289647	
0.051333	-0.208293	-0.135569	
0.052000	-0.0561669	0.015795	
0.052667	0.151974	0.150297	
0.053333	-0.085714	0.25516	
0.054000	-0.405792	0.353254	
0.054667	0.164964	0.44775	
0.055333	-0.0644609	0.497971	
0.056000	-0.45269	0.532031	
0.056667	-0.417532	0.569872	
0.057333	0.0431772	0.594632	
0.058000	0.115322	0.578745	
0.058667	0.154901	0.531665	
0.059333	0.252568	0.44964	
0.060000	0.193017	0.340844	
0.060667	-0.00137216	0.218051	
0.061333	-0.122366	0.0992831	
0.062000	0.0943129	-0.00652537	
0.062667	0.0603139	-0.111206	
0.063333	0.0525383	-0.20439	
0.064000	0.0942214	-0.282298	
0.064667	0.469003	-0.352766	
0.065333	0.228235	-0.430186	
0.066000	0.200152	-0.488427	
0.066667	0.320505	-0.532092	
0.067333	0.13005	-0.562493	
0.068000	-0.0566853	-0.566945	
0.068667	-0.248177	-0.536086	
0.069333	-0.322518	-0.465466	
0.070000	-0.198658	-0.361487	
0.070667	-0.0962339	-0.24275	
0.071333	-0.08175	-0.120231	
0.072000	0.0802864	-0.00186003	
0.072667	-0.292696	0.1034	
0.073333	-0.559078	0.220277	
0.074000	-0.0494891	0.345082	
0.074667	-0.0910502	0.439365	
0.075333	0.00930017	0.509527	
0.076000	0.150846	0.545813	
0.076667	0.296599	0.54188	
0.077333	0.215855	0.493793	
0.078000	-0.360542	0.426039	
0.078667	0.0346393	0.368012	
0.079333	0.0337246	0.292605	
0.080000	-0.127092	0.208842	
0.080667	-0.24031	0.132398	
0.081333	0.189632	0.067815	
0.082000	-0.0539715	-0.0129897	
0.082667	-0.321237	-0.0753771	
0.083333	0.210489	-0.113157	
0.084000	0.694952	-0.169751	
0.084667	0.435401	-0.257203	
0.085333	0.312852	-0.342582	
0.086000	0.515443	-0.421862	
0.086667	0.142887	-0.499373	
0.087333	0.0152462	-0.547795	
0.088000	-0.190821	-0.561883	
0.088667	-0.114926	-0.534196	
0.089333	0.0838845	-0.482481	
0.090000	-0.385241	-0.416892	
0.090667	-0.402469	-0.308613	
0.091333	-0.115261	-0.176002	
0.092000	-0.0777555	-0.047751	
0.092667	-0.227747	0.0779385	
0.093333	-0.199176	0.202012	
0.094000	-0.125354	0.315992	
0.094667	-0.219423	0.411647	
0.095333	-0.423265	0.495592	
0.096000	0.0145754	0.573013	
0.096667	0.150236	0.604877	
0.097333	-0.0573561	0.600273	
0.098000	0.129867	0.568591	
0.098667	-0.190943	0.510076	
0.099333	0.043909	0.444823	
0.100000	0.193261	0.357066	
0.100667	0.0853786	0.249336	
0.101333	0.331757	0.132367	
0.102000	0.194663	-0.000426893	
0.102667	0.0910807	-0.128922	
0.103333	0.38518	-0.246531	
0.104000	0.14304	-0.366152	
0.104667	0.137338	-0.462112	
0.105333	0.145784	-0.536239	
0.106000	-0.00411647	-0.584356	
0.106667	-0.0063729	-0.599145	
0.107333	-0.165208	-0.584386	
0.108000	-0.167556	-0.532427	
0.108667	-0.129074	-0.45208	
0.109333	-0.0815976	-0.352919	
0.110000	-0.179996	-0.241743	
0.110667	-0.458575	-0.115139	
0.111333	0.197743	0.0286018	
0.112000	0.267632	0.135844	
0.112667	0.0959595	0.213934	
0.113333	-0.0564414	0.275163	
0.114000	0.0856226	0.324774	
0.114667	-0.101357	0.348802	
0.115333	-0.476352	0.369537	
0.116000	-0.156914	0.399115	
0.116667	-0.220826	0.413934	
0.117333	-0.235249	0.419941	
0.118000	-0.365329	0.420307	
0.118667	0.368134	0.415123	
0.119333	0.175606	0.357279	
0.120000	-0.132977	0.286811	
0.120667	0.297118	0.214117	
0.121333	-0.0473546	0.119652	
0.122000	0.117335	0.0342124	
0.122667	-0.0192712	-0.0534836	
0.123333	0.24089	-0.128586	
0.124000	0.672265	-0.214117	
0.124667	0.432961	-0.322853	
0.125333	0.185241	-0.425338	
0.126000	0.152462	-0.503673	
0.126667	0.340386	-0.561151	
0.127333	-0.286293	-0.600029	
0.128000	-0.309345	-0.581215	
0.128667	-0.00942214	-0.524072	
0.129333	-0.193657	-0.450372	
0.130000	-0.328647	-0.348192	
0.130667	-0.293001	-0.219515	
0.131333	-0.168531	-0.0794936	
0.132000	-0.0106418	0.0576001	
0.132667	0.0425064	0.177527	
0.133333	0.102363	0.276047	
0.134000	-0.138679	0.348467	
0.134667	0.0376886	0.40872	
0.135333	-0.0513491	0.441651	
0.136000	-0.379965	0.460923	
