16.846,2.7349e+05,0.48065
0,1.2614,-2.017
0.73242,1.2898,-2.2106
1.4648,1.3008,-2.2844
2.1973,1.2304,-1.8007
2.9297,1.1952,-1.5489
3.6621,1.1384,-1.1257
4.3945,1.1407,-1.1438
5.127,1.1603,-1.2916
5.8594,1.1797,-1.4354
6.5918,1.1666,-1.3388
7.3242,1.2188,-1.7185
8.0566,1.3341,-2.5037
8.7891,1.4457,-3.2013
9.5215,1.5316,-3.7028
10.254,1.631,-4.2493
10.986,1.8085,-5.1464
11.719,1.9971,-6.0079
12.451,2.1373,-6.5972
13.184,2.2782,-7.1518
13.916,2.4096,-7.639
14.648,2.534,-8.0762
15.381,2.658,-8.491
16.113,2.7864,-8.9007
16.846,2.8468,-9.0871
17.578,2.7705,-8.8512
18.311,2.5348,-8.0789
19.043,2.2263,-6.9515
19.775,1.9626,-5.8568
20.508,1.6974,-4.5959
21.24,1.4838,-3.4273
21.973,1.3241,-2.4387
22.705,1.1806,-1.4422
23.438,1.0434,-0.36864
24.17,0.94926,0.45227
24.902,0.87838,1.1263
25.635,0.79351,2.009
26.367,0.72607,2.7805
27.1,0.67098,3.4658
27.832,0.62347,4.1037
28.564,0.58313,4.6847
29.297,0.54456,5.2791
30.029,0.5128,5.801
30.762,0.48177,6.3432
31.494,0.45383,6.8621
32.227,0.42694,7.3926
32.959,0.40529,7.8446
33.691,0.38564,8.2763
34.424,0.36324,8.7962
35.156,0.34275,9.3006
35.889,0.32723,9.7029
36.621,0.31487,10.037
37.354,0.30121,10.423
38.086,0.28765,10.823
38.818,0.27547,11.198
39.551,0.2656,11.516
40.283,0.25381,11.91
41.016,0.2439,12.256
41.748,0.23478,12.587
42.48,0.22591,12.921
43.213,0.21805,13.229
43.945,0.2108,13.522
44.678,0.20269,13.864
45.41,0.19533,14.185
46.143,0.18937,14.454
46.875,0.18219,14.789
47.607,0.16481,15.66
48.34,0.16108,15.859
49.072,0.16094,15.867
49.805,0.16095,15.866
50.537,0.16097,15.865
51.27,0.16098,15.864
52.002,0.14874,16.551
52.734,0.14888,16.543
53.467,0.14287,16.901
54.199,0.13689,17.273
54.932,0.13338,17.498
55.664,0.13026,17.703
56.396,0.1267,17.945
57.129,0.12297,18.204
57.861,0.12015,18.406
58.594,0.11743,18.605
59.326,0.11474,18.806
60.059,0.11205,19.012
60.791,0.1095,19.211
61.523,0.10659,19.446
62.256,0.10394,19.664
62.988,0.10194,19.833
63.721,0.09993,20.006
64.453,0.097536,20.217
65.186,0.095454,20.404
65.918,0.093643,20.571
66.65,0.091592,20.763
67.383,0.089668,20.947
68.115,0.087825,21.128
68.848,0.086002,21.31
69.58,0.084313,21.482
70.312,0.082769,21.643
71.045,0.081141,21.815
71.777,0.079697,21.971
72.51,0.078206,22.135
73.242,0.076574,22.318
73.975,0.075058,22.492
74.707,0.0738,22.639
75.439,0.072593,22.782
76.172,0.071359,22.931
76.904,0.070053,23.091
77.637,0.068883,23.238
78.369,0.067676,23.391
79.102,0.06645,23.55
79.834,0.065224,23.712
80.566,0.064177,23.852
81.299,0.063168,23.99
82.031,0.062136,24.133
82.764,0.061133,24.275
83.496,0.060195,24.409
84.229,0.05935,24.532
84.961,0.058296,24.687
85.693,0.057406,24.821
86.426,0.056563,24.949
87.158,0.05568,25.086
87.891,0.054857,25.215
88.623,0.054055,25.343
89.355,0.053245,25.474
90.088,0.052435,25.608
90.82,0.051755,25.721
91.553,0.05107,25.837
92.285,0.050283,25.972
93.018,0.049586,26.093
93.75,0.048806,26.231
94.482,0.048153,26.348
95.215,0.047501,26.466
95.947,0.04679,26.597
96.68,0.046196,26.708
97.412,0.045601,26.82
98.145,0.045066,26.923
98.877,0.044299,27.072
99.609,0.04396,27.139
100.34,0.043821,27.166
101.07,0.043135,27.303
101.81,0.0422,27.494
102.54,0.041665,27.605
103.27,0.041141,27.715
104,0.04058,27.834
104.74,0.040092,27.939
105.47,0.039636,28.038
106.2,0.039191,28.136
106.93,0.038773,28.229
107.67,0.038218,28.355
108.4,0.03777,28.457
109.13,0.037294,28.567
109.86,0.036858,28.669
110.6,0.036467,28.762
111.33,0.036093,28.851
112.06,0.035633,28.963
112.79,0.035277,29.05
113.53,0.034813,29.165
114.26,0.034378,29.274
114.99,0.033994,29.372
115.72,0.033653,29.46
116.46,0.033293,29.553
117.19,0.032883,29.66
117.92,0.032451,29.775
118.65,0.032152,29.856
119.38,0.0319,29.924
120.12,0.031634,29.997
120.85,0.03128,30.095
121.58,0.030926,30.193
122.31,0.030546,30.301
123.05,0.03024,30.388
123.78,0.029901,30.486
124.51,0.029642,30.562
125.24,0.029411,30.63
125.98,0.029092,30.725
126.71,0.028792,30.815
127.44,0.028523,30.896
128.17,0.028233,30.985
128.91,0.027957,31.07
129.64,0.027576,31.189
130.37,0.027314,31.272
131.1,0.027158,31.322
131.84,0.026882,31.411
132.57,0.02652,31.529
133.3,0.026325,31.593
134.03,0.026243,31.62
134.77,0.026009,31.697
135.5,0.025665,31.813
136.23,0.025358,31.918
136.96,0.025096,32.008
137.7,0.024856,32.091
138.43,0.024631,32.17
139.16,0.024516,32.211
139.89,0.02436,32.266
140.62,0.024143,32.344
141.36,0.023952,32.413
142.09,0.023722,32.497
142.82,0.023489,32.583
143.55,0.0233,32.653
144.29,0.023032,32.753
145.02,0.022723,32.871
145.75,0.022581,32.925
146.48,0.022445,32.978
147.22,0.022325,33.024
147.95,0.022101,33.112
148.68,0.021769,33.243
149.41,0.021585,33.317
150.15,0.021496,33.353
150.88,0.021376,33.401
151.61,0.021249,33.453
152.34,0.021132,33.501
153.08,0.020879,33.606
153.81,0.020746,33.661
154.54,0.02057,33.735
155.27,0.020411,33.803
156.01,0.020214,33.887
156.74,0.01998,33.988
157.47,0.019955,33.999
158.2,0.019764,34.083
158.94,0.019508,34.196
159.67,0.019472,34.212
160.4,0.019435,34.228
161.13,0.019162,34.351
161.87,0.018931,34.456
162.6,0.018793,34.52
163.33,0.018716,34.556
164.06,0.0185,34.656
164.79,0.018471,34.67
165.53,0.018394,34.707
166.26,0.018196,34.8
166.99,0.018065,34.863
167.72,0.018008,34.891
168.46,0.017908,34.939
169.19,0.017692,35.044
169.92,0.017516,35.131
170.65,0.017513,35.133
171.39,0.017439,35.17
172.12,0.017163,35.308
172.85,0.017023,35.379
173.58,0.016803,35.492
174.32,0.016822,35.482
175.05,0.016782,35.503
175.78,0.01664,35.577
176.51,0.016447,35.678
177.25,0.016324,35.743
177.98,0.016313,35.749
178.71,0.016163,35.829
179.44,0.015961,35.939
180.18,0.015823,36.014
180.91,0.015736,36.062
181.64,0.015806,36.024
182.37,0.015786,36.035
183.11,0.015712,36.076
183.84,0.015536,36.173
184.57,0.015414,36.242
185.3,0.015252,36.333
186.04,0.015107,36.416
186.77,0.015088,36.427
187.5,0.015112,36.413
188.23,0.014954,36.505
188.96,0.014852,36.565
189.7,0.014658,36.679
190.43,0.014577,36.727
191.16,0.014581,36.724
191.89,0.014379,36.845
192.63,0.014277,36.907
193.36,0.014228,36.937
194.09,0.014155,36.982
194.82,0.014026,37.061
195.56,0.013993,37.082
196.29,0.013956,37.105
197.02,0.013685,37.275
197.75,0.013546,37.364
198.49,0.013672,37.283
199.22,0.013572,37.347
199.95,0.013384,37.468
200.68,0.013281,37.535
201.42,0.013284,37.533
202.15,0.01323,37.568
202.88,0.013144,37.625
203.61,0.013063,37.679
204.35,0.013012,37.713
205.08,0.012924,37.772
205.81,0.012961,37.747
206.54,0.012899,37.789
207.28,0.012766,37.879
208.01,0.012674,37.942
208.74,0.012637,37.967
209.47,0.012575,38.01
210.21,0.012487,38.071
210.94,0.012463,38.088
211.67,0.012389,38.139
212.4,0.012131,38.322
213.13,0.011979,38.431
213.87,0.011965,38.442
214.6,0.011954,38.45
215.33,0.011956,38.448
216.06,0.011938,38.462
216.8,0.011853,38.524
217.53,0.011887,38.499
218.26,0.011833,38.538
218.99,0.011686,38.647
219.73,0.011571,38.733
220.46,0.011518,38.773
221.19,0.011474,38.805
221.92,0.011404,38.859
222.66,0.011367,38.887
223.39,0.011277,38.956
224.12,0.011249,38.978
224.85,0.0112,39.016
225.59,0.011185,39.027
226.32,0.011163,39.044
227.05,0.010983,39.186
227.78,0.010926,39.23
228.52,0.010913,39.241
229.25,0.010972,39.194
229.98,0.010852,39.29
230.71,0.010684,39.426
231.45,0.010638,39.463
232.18,0.010717,39.399
232.91,0.010575,39.514
233.64,0.01042,39.642
234.38,0.010479,39.593
235.11,0.010599,39.494
235.84,0.010583,39.508
236.57,0.010436,39.629
237.3,0.01032,39.726
238.04,0.010198,39.83
238.77,0.010062,39.947
239.5,0.010087,39.925
240.23,0.010101,39.913
240.97,0.010063,39.945
241.7,0.0098775,40.107
242.43,0.0098473,40.134
243.16,0.0098154,40.162
243.9,0.0099174,40.072
244.63,0.0099754,40.021
245.36,0.009758,40.213
246.09,0.0096209,40.336
246.83,0.0095639,40.387
247.56,0.0095842,40.369
248.29,0.0095789,40.374
249.02,0.0094492,40.492
249.76,0.0094276,40.512
250.49,0.0095156,40.431
251.22,0.0094444,40.496
251.95,0.0093332,40.599
252.69,0.0093532,40.581
253.42,0.0094436,40.497
254.15,0.0094235,40.516
254.88,0.0093727,40.563
255.62,0.0093058,40.625
256.35,0.0093033,40.627
257.08,0.0093152,40.616
257.81,0.0091801,40.743
258.54,0.0091189,40.801
259.28,0.0090602,40.857
260.01,0.0089978,40.917
260.74,0.0089718,40.942
261.47,0.0089611,40.953
262.21,0.0090211,40.895
262.94,0.0088589,41.052
263.67,0.0088119,41.099
264.4,0.0086889,41.221
265.14,0.0086454,41.264
265.87,0.0086778,41.232
266.6,0.0087843,41.126
267.33,0.008732,41.178
268.07,0.008663,41.247
268.8,0.008554,41.357
269.53,0.0085202,41.391
270.26,0.0084271,41.486
271,0.0084006,41.514
271.73,0.0084686,41.444
272.46,0.0085505,41.36
273.19,0.0083985,41.516
273.93,0.0082546,41.666
274.66,0.0082146,41.708
275.39,0.0082781,41.641
276.12,0.0084103,41.504
276.86,0.0084457,41.467
277.59,0.0081008,41.829
278.32,0.0079412,42.002
279.05,0.0080346,41.901
279.79,0.0080716,41.861
280.52,0.0080937,41.837
281.25,0.0080666,41.866
281.98,0.0079636,41.978
282.71,0.0078844,42.065
283.45,0.0080389,41.896
284.18,0.0080511,41.883
284.91,0.0079713,41.969
285.64,0.0079051,42.042
286.38,0.0078577,42.094
287.11,0.0077689,42.193
287.84,0.00778,42.18
288.57,0.007727,42.24
289.31,0.0075748,42.413
290.04,0.0075346,42.459
290.77,0.0075453,42.446
291.5,0.0075667,42.422
292.24,0.0076085,42.374
292.97,0.0076388,42.34
293.7,0.0076653,42.309
294.43,0.0075507,42.44
295.17,0.0075738,42.414
295.9,0.0076235,42.357
296.63,0.0074457,42.562
297.36,0.0073678,42.653
298.1,0.0073867,42.631
298.83,0.0074042,42.61
299.56,0.0073139,42.717
300.29,0.0073352,42.692
301.03,0.0074708,42.533
301.76,0.0073211,42.709
302.49,0.0071325,42.935
303.22,0.0070158,43.078
303.96,0.0070463,43.041
304.69,0.0070507,43.035
305.42,0.0069304,43.185
306.15,0.007018,43.076
306.88,0.0071367,42.93
307.62,0.0072161,42.834
308.35,0.0072095,42.842
309.08,0.0071567,42.906
309.81,0.0070629,43.02
310.55,0.0070695,43.012
311.28,0.0069655,43.141
312.01,0.0070004,43.098
312.74,0.0070379,43.051
313.48,0.0068942,43.23
314.21,0.0068915,43.234
314.94,0.006942,43.17
315.67,0.0067596,43.402
316.41,0.0066132,43.592
317.14,0.0067281,43.442
317.87,0.0068047,43.344
318.6,0.0067508,43.413
319.34,0.0067473,43.417
320.07,0.0066865,43.496
320.8,0.0065937,43.617
321.53,0.0066575,43.534
322.27,0.0066361,43.562
323,0.006568,43.651
323.73,0.0065986,43.611
324.46,0.0065057,43.734
325.2,0.0065521,43.672
325.93,0.0066226,43.579
326.66,0.0066457,43.549
327.39,0.0066604,43.53
328.12,0.0065299,43.702
328.86,0.0066067,43.6
329.59,0.0066831,43.5
330.32,0.0066658,43.523
331.05,0.0065017,43.74
331.79,0.0064377,43.825
332.52,0.00639,43.89
333.25,0.0062933,44.022
333.98,0.0061833,44.176
334.72,0.0061493,44.223
335.45,0.0061207,44.264
336.18,0.0061041,44.288
336.91,0.0061555,44.215
337.65,0.0060793,44.323
338.38,0.006053,44.361
