\\10.23.0.9\Work - Dsystems\ПРОЕКТЫ\Испытания Дагестанский ППУ\Испытания на вибростоле\2023-07-28\SR11\10.EDT
28/07/23,09:58:56
VIN: 000218BF	FSmp: 1500.0
T[sec]	X[м/с2]	Y[м/с2]	
0.000000	1.18631	0.0949227	
0.000667	0.617958	0.0806523	
0.001333	0.531573	0.0641559	
0.002000	0.720931	0.0450982	
0.002667	0.0235096	0.0227778	
0.003333	-0.134746	0.00289677	
0.004000	-0.230522	-0.0135386	
0.004667	-0.184631	-0.0257356	
0.005333	0.304588	-0.038146	
0.006000	-0.201737	-0.0521724	
0.006667	0.0893731	-0.0619605	
0.007333	0.263058	-0.0734256	
0.008000	-0.187406	-0.0868728	
0.008667	-0.6032	-0.0947703	
0.009333	-0.683578	-0.0971487	
0.010000	-0.273699	-0.0940994	
0.010667	-0.536635	-0.0892512	
0.011333	-0.389845	-0.0811707	
0.012000	-0.703672	-0.069797	
0.012667	-0.844334	-0.05388	
0.013333	-0.714467	-0.0309498	
0.014000	-0.598596	-0.00606798	
0.014667	-0.0845858	0.0207958	
0.015333	0.189327	0.045891	
0.016000	0.182161	0.065772	
0.016667	0.106296	0.0829392	
0.017333	0.537885	0.0989477	
0.018000	0.791155	0.107577	
0.018667	1.06604	0.108065	
0.019333	0.965754	0.100594	
0.020000	0.768774	0.0868728	
0.020667	0.630094	0.0701629	
0.021333	0.169995	0.0504344	
0.022000	-0.0555876	0.0316206	
0.022667	0.369202	0.0153682	
0.023333	-0.0471412	-0.00253087	
0.024000	-0.686658	-0.0163134	
0.024667	-0.0607103	-0.0242719	
0.025333	-0.020064	-0.033816	
0.026000	-0.00930017	-0.0426588	
0.026667	-0.25763	-0.0513491	
0.027333	-0.0915381	-0.0564719	
0.028000	0.253392	-0.0610152	
0.028667	-0.101631	-0.0686383	
0.029333	-0.288976	-0.0745233	
0.030000	-0.594662	-0.0758345	
0.030667	-0.536025	-0.0706508	
0.031333	-0.467235	-0.0622654	
0.032000	-0.601431	-0.0506783	
0.032667	-0.156853	-0.0377191	
0.033333	-0.200182	-0.0243024	
0.034000	-0.219941	-0.00914771	
0.034667	-0.598077	0.00515321	
0.035333	-0.496873	0.0265893	
0.036000	0.303125	0.0472022	
0.036667	-0.213111	0.0612897	
0.037333	0.288946	0.0796461	
0.038000	0.340539	0.0923309	
0.038667	0.566945	0.100808	
0.039333	0.994935	0.102881	
0.040000	1.11093	0.0945263	
0.040667	0.224332	0.0809877	
0.041333	-0.219118	0.0710472	
0.042000	0.445006	0.0617775	
0.042667	0.447933	0.0490622	
0.043333	0.419788	0.0337855	
0.044000	0.247964	0.0153682	
0.044667	0.11889	-0.00323219	
0.045333	0.00765358	-0.0208873	
0.046000	-0.0648878	-0.0364994	
0.046667	-0.102271	-0.0506783	
0.047333	-0.0704069	-0.0616251	
0.048000	-0.155389	-0.073822	
0.048667	-0.604359	-0.0821464	
0.049333	-0.497209	-0.0842199	
0.050000	-0.600944	-0.0830612	
0.050667	-0.900531	-0.0762004	
0.051333	-0.714772	-0.0635766	
0.052000	-0.985727	-0.0448238	
0.052667	-0.555205	-0.021985	
0.053333	0.239304	0.00167708	
0.054000	0.147796	0.0198505	
0.054667	0.122579	0.0371702	
0.055333	0.522426	0.050099	
0.056000	0.264094	0.0586063	
0.056667	0.507362	0.066077	
0.057333	-0.0540325	0.0668088	
0.058000	0.24403	0.0708643	
0.058667	0.623813	0.0716266	
0.059333	0.614757	0.0660465	
0.060000	0.33691	0.0569902	
0.060667	-0.244701	0.0479035	
0.061333	0.233846	0.0411952	
0.062000	0.0422014	0.0336941	
0.062667	0.110382	0.0259795	
0.063333	0.0920869	0.0163439	
0.064000	-0.181064	0.00841589	
0.064667	-0.176368	0.00253087	
0.065333	0.579507	-0.00225644	
0.066000	0.758681	-0.0142399	
0.066667	0.584874	-0.0327183	
0.067333	0.200609	-0.051776	
0.068000	-0.253422	-0.069797	
0.068667	-0.188321	-0.0820245	
0.069333	-0.479066	-0.091843	
0.070000	-0.859793	-0.0971487	
0.070667	-0.0613506	-0.0961119	
0.071333	-0.883425	-0.0940385	
0.072000	-0.951087	-0.0833356	
0.072667	-0.610671	-0.0671137	
0.073333	-0.797253	-0.0471717	
0.074000	-0.436895	-0.0230217	
0.074667	-0.225826	0.0024089	
0.075333	-0.165696	0.0254306	
0.076000	0.260039	0.0482084	
0.076667	0.712149	0.0649487	
0.077333	0.423204	0.0744928	
0.078000	0.756973	0.0813536	
0.078667	0.908154	0.0808963	
0.079333	0.673607	0.0745538	
0.080000	0.267784	0.0635461	
0.080667	0.310687	0.0533312	
0.081333	0.119926	0.0404634	
0.082000	-0.132306	0.029913	
0.082667	0.0386643	0.0214666	
0.083333	-0.0286323	0.0130507	
0.084000	-0.129471	0.00484829	
0.084667	0.0215581	-0.00131117	
0.085333	-0.0491842	-0.00829392	
0.086000	-0.199237	-0.014179	
0.086667	0.257112	-0.017777	
0.087333	0.409604	-0.0252782	
0.088000	0.598169	-0.0355236	
0.088667	0.21674	-0.0508918	
0.089333	0.207684	-0.0643389	
0.090000	-0.0691262	-0.0784569	
0.090667	-0.672997	-0.0887023	
0.091333	-0.415489	-0.0918125	
0.092000	-1.21021	-0.0906538	
0.092667	-0.872021	-0.0789752	
0.093333	-0.999082	-0.0615641	
0.094000	-1.01909	-0.0390302	
0.094667	-0.782099	-0.0107943	
0.095333	-0.305686	0.0207043	
0.096000	0.247842	0.0488793	
0.096667	0.285957	0.0729377	
0.097333	0.621648	0.0926053	
0.098000	0.712973	0.105748	
0.098667	0.67501	0.110321	
0.099333	1.00253	0.109955	
0.100000	1.15536	0.10279	
0.100667	0.808505	0.0872996	
0.101333	0.386857	0.0677845	
0.102000	0.279188	0.0478425	
0.102667	-0.165635	0.0285409	
0.103333	-0.0648878	0.0119225	
0.104000	0.159018	-0.00277481	
0.104667	-0.0270467	-0.0184174	
0.105333	-0.232535	-0.0325963	
0.106000	-0.544319	-0.0417745	
0.106667	-0.135935	-0.0469582	
0.107333	-0.0240585	-0.0523859	
0.108000	0.041744	-0.0568073	
0.108667	0.226284	-0.0635766	
0.109333	-0.485134	-0.0704374	
0.110000	-0.303795	-0.0712912	
0.110667	-0.381886	-0.0706508	
0.111333	-1.01	-0.0656196	
0.112000	-0.438541	-0.0511052	
0.112667	-0.414208	-0.0368348	
0.113333	-0.64778	-0.0205823	
0.114000	0.0507393	-0.000853786	
0.114667	-9.14771e-05	0.0154901	
0.115333	-0.243695	0.0311632	
0.116000	-0.243177	0.0468058	
0.116667	-0.252355	0.0647048	
0.117333	0.367951	0.0830612	
0.118000	0.723736	0.0936421	
0.118667	0.697452	0.0980025	
0.119333	0.443847	0.0981549	
0.120000	0.604633	0.093886	
0.120667	0.751576	0.0852872	
0.121333	0.298215	0.0715046	
0.122000	0.210001	0.0582404	
0.122667	0.752338	0.0442444	
0.123333	0.0876656	0.023845	
0.124000	0.027992	0.00573257	
0.124667	0.255221	-0.0109163	
0.125333	0.323433	-0.0289373	
0.126000	-0.160756	-0.0483609	
0.126667	-0.474034	-0.061747	
0.127333	-0.123677	-0.071962	
0.128000	-0.536696	-0.0822074	
0.128667	-0.203994	-0.085897	
0.129333	-0.0272907	-0.0891902	
0.130000	-0.360603	-0.0906538	
0.130667	-0.685712	-0.0888852	
0.131333	-0.861074	-0.0808353	
0.132000	-0.825825	-0.0668698	
0.132667	-0.425094	-0.0472937	
0.133333	0.23101	-0.027992	
0.134000	-0.0802254	-0.0146058	
0.134667	-0.378532	0.000762309	
0.135333	0.0252782	0.0176551	
0.136000	-0.0283579	0.033755	
0.136667	0.209544	0.047751	
0.137333	0.378868	0.0588198	
0.138000	0.27623	0.0653756	
0.138667	0.147705	0.070041	
0.139333	0.273334	0.0736696	
0.140000	0.423935	0.075743	
0.140667	0.731634	0.0729072	
0.141333	0.988746	0.0641559	
0.142000	0.667783	0.0475071	
0.142667	0.396096	0.0275346	
0.143333	0.216069	0.00951362	
0.144000	-0.347613	-0.009971	
0.144667	-0.0622349	-0.0231437	
0.145333	-0.304741	-0.0350357	
0.146000	-0.286384	-0.0435126	
0.146667	0.322579	-0.0514406	
0.147333	0.0482389	-0.0615336	
0.148000	-0.41988	-0.0704069	
0.148667	-0.299496	-0.0733951	
0.149333	0.0231437	-0.075865	
0.150000	-0.467052	-0.0784264	
0.150667	-0.380362	-0.0756516	
0.151333	-0.783562	-0.0702849	
0.152000	-0.610823	-0.0577221	
0.152667	-0.48986	-0.0421709	
0.153333	-0.843876	-0.0239975	
0.154000	-0.347217	-0.000609847	
0.154667	0.0423844	0.0229912	
0.155333	0.225339	0.0411952	
0.156000	0.338923	0.0565024	
0.156667	0.276139	0.0684249	
0.157333	0.33316	0.0772067	
0.158000	0.166214	0.0833661	
0.158667	0.595973	0.0883974	
0.159333	0.769139	0.086019	
0.160000	0.265649	0.0794631	
0.160667	0.127306	0.0719925	
0.161333	-0.0071962	0.0648878	
0.162000	0.0172282	0.0587283	
0.162667	0.401462	0.0524774	
0.163333	0.619757	0.0414696	
0.164000	0.0190272	0.0264979	
0.164667	0.500075	0.0146668	
0.165333	0.320475	-0.0039945	
0.166000	-0.232047	-0.0209483	
0.166667	0.0978195	-0.0326878	
0.167333	0.217319	-0.0471412	
0.168000	-0.0306448	-0.0622349	
0.168667	-0.234822	-0.0753771	
0.169333	-0.407683	-0.083976	
0.170000	-0.823263	-0.0886108	
0.170667	-0.599266	-0.0859275	
0.171333	-0.313309	-0.07989	
0.172000	-0.813445	-0.0716266	
0.172667	-0.643541	-0.0581185	
0.173333	-0.476474	-0.0393352	
0.174000	-0.408842	-0.0197895	
0.174667	-0.0705593	0.000792802	
0.175333	0.0793716	0.0187833	
0.176000	0.032078	0.0346393	
0.176667	-0.206799	0.0509223	
0.177333	0.151181	0.0666258	
0.178000	0.425643	0.0792802	
0.178667	0.67379	0.0865983	
0.179333	0.909221	0.0873606	
0.180000	0.591887	0.0821769	
0.180667	0.986154	0.0726328	
0.181333	0.352492	0.0557096	
0.182000	0.152096	0.039884	
0.182667	0.144595	0.0254001	
0.183333	0.0572342	0.00994051	
0.184000	0.0177466	-0.00329318	
0.184667	0.112303	-0.0161	
0.185333	0.178045	-0.0307668	
0.186000	-0.33383	-0.0448848	
0.186667	-0.0437565	-0.0564109	
0.187333	-0.37591	-0.0641864	
0.188000	-0.226284	-0.0683944	
0.188667	-0.137947	-0.07184	
0.189333	-0.105748	-0.0742794	
0.190000	-0.25513	-0.0762919	
0.190667	-0.565115	-0.0740964	
0.191333	-0.331117	-0.0670222	
0.192000	-0.66821	-0.0589722	
0.192667	-0.641254	-0.0456471	
0.193333	-0.257112	-0.0285409	
0.194000	-0.583136	-0.0111907	
0.194667	-0.548314	0.0104284	
0.195333	0.215154	0.0333891	
0.196000	0.627167	0.0504954	
0.196667	0.32392	0.0607408	
0.197333	0.158621	0.0691567	
0.198000	0.24894	0.0766883	
0.198667	0.607042	0.0809572	
0.199333	0.151852	0.0792497	
0.200000	0.127306	0.0784264	
0.200667	0.539532	0.0772067	
0.201333	0.7184	0.0685164	
0.202000	0.782434	0.0556181	
0.202667	0.449884	0.0382679	
0.203333	0.529378	0.0186613	
0.204000	0.217837	-0.00375056	
0.204667	0.0366518	-0.0243939	
0.205333	0.0441529	-0.0438785	
0.206000	-0.12322	-0.061747	
0.206667	-0.200182	-0.0763834	
0.207333	-0.20622	-0.0886108	
0.208000	-0.955783	-0.09599	
0.208667	-0.777525	-0.0954106	
0.209333	-0.452019	-0.0910807	
0.210000	-0.921845	-0.0826038	
0.210667	-0.940872	-0.0663209	
0.211333	-0.266381	-0.0446408	
0.212000	0.425186	-0.0270162	
0.212667	0.000213447	-0.0141485	
0.213333	-0.46324	0.000731817	
0.214000	-0.0354931	0.0162829	
0.214667	0.297971	0.031773	
0.215333	0.10282	0.0434211	
0.216000	-0.166031	0.0534531	
0.216667	-0.0989172	0.0648878	
0.217333	0.171703	0.0756516	
0.218000	0.345692	0.0844029	
0.218667	0.391674	0.0877265	
0.219333	0.484188	0.0883059	
0.220000	0.212745	0.0846163	
0.220667	0.416831	0.0804389	
0.221333	0.4948	0.0740355	
0.222000	0.354169	0.0633326	
0.222667	0.379295	0.0502819	
