356.00, 0.00, 4095.00, 0.00, 47958.00, 8388607.00
362.00, 0.00, 4095.00, 0.00, 47867.00, 8388607.00
371.00, 0.00, 4095.00, 0.00, 47906.00, 8388607.00
382.00, 0.00, 4095.00, 0.00, 47865.00, 8388607.00
415.00, 0.00, 4095.00, 0.00, 47939.00, 8388607.00
425.00, 0.00, 4095.00, 0.00, 47897.00, 8388607.00
436.00, 0.00, 4095.00, 0.00, 47887.00, 8388607.00
447.00, 0.00, 4095.00, 0.00, 47884.00, 8388607.00
458.00, 0.00, 4095.00, 0.00, 47738.00, 8388607.00
474.00, 0.00, 4095.00, 0.00, 47724.00, 8388607.00
485.00, 0.00, 4095.00, 0.00, 47777.00, 8388607.00
496.00, 0.00, 4095.00, 0.00, 47911.00, 8388607.00
507.00, 0.00, 4095.00, 0.00, 47892.00, 8388607.00
518.00, 0.00, 4095.00, 0.00, 47868.00, 8388607.00
528.00, 0.00, 4095.00, 0.00, 47861.00, 8388607.00
539.00, 0.00, 4095.00, 0.00, 47927.00, 8388607.00
550.00, 0.00, 4095.00, 0.00, 47941.00, 8388607.00
561.00, 0.00, 4095.00, 0.00, 47794.00, 8388607.00
572.00, 0.00, 4095.00, 0.00, 47868.00, 8388607.00
582.00, 0.00, 4095.00, 0.00, 48055.00, 8388607.00
588.00, 0.00, 4095.00, 0.00, 47994.00, 8388607.00
598.00, 0.00, 4095.00, 0.00, 47969.00, 8388607.00
609.00, 0.00, 4095.00, 0.00, 48033.00, 8388607.00
626.00, 0.00, 4095.00, 0.00, 47965.00, 8388607.00
636.00, 0.00, 4095.00, 0.00, 47847.00, 8388607.00
647.00, 0.00, 4095.00, 0.00, 47862.00, 8388607.00
658.00, 0.00, 4095.00, 0.00, 48008.00, 8388607.00
669.00, 0.00, 4095.00, 0.00, 48030.00, 8388607.00
680.00, 0.00, 4095.00, 0.00, 47957.00, 8388607.00
690.00, 0.00, 4095.00, 0.00, 48009.00, 8388607.00
701.00, 0.00, 4095.00, 0.00, 48067.00, 8388607.00
712.00, 0.00, 4095.00, 0.00, 48019.00, 8388607.00
723.00, 0.00, 4095.00, 0.00, 47815.00, 8388607.00
734.00, 0.00, 4095.00, 0.00, 47730.00, 8388607.00
739.00, 0.00, 4095.00, 0.00, 47851.00, 8388607.00
749.00, 0.00, 4095.00, 0.00, 47869.00, 8388607.00
766.00, 0.00, 4095.00, 0.00, 47772.00, 8388607.00
777.00, 0.00, 4095.00, 0.00, 47818.00, 8388607.00
788.00, 0.00, 4095.00, 0.00, 47827.00, 8388607.00
798.00, 0.00, 4095.00, 0.00, 47835.00, 8388607.00
809.00, 0.00, 4095.00, 0.00, 47871.00, 8388607.00
820.00, 0.00, 4095.00, 0.00, 47793.00, 8388607.00
831.00, 0.00, 4095.00, 0.00, 47838.00, 8388607.00
842.00, 0.00, 4095.00, 0.00, 47923.00, 8388607.00
853.00, 0.00, 4095.00, 0.00, 48033.00, 8388607.00
864.00, 0.00, 4095.00, 0.00, 48127.00, 8388607.00
875.00, 0.00, 4095.00, 0.00, 47885.00, 8388607.00
886.00, 0.00, 4095.00, 0.00, 47860.00, 8388607.00
891.00, 0.00, 4095.00, 0.00, 47796.00, 8388607.00
902.00, 0.00, 4095.00, 0.00, 47782.00, 8388607.00
918.00, 0.00, 4095.00, 0.00, 47928.00, 8388607.00
929.00, 0.00, 4095.00, 0.00, 47815.00, 8388607.00
940.00, 0.00, 4095.00, 0.00, 47774.00, 8388607.00
951.00, 0.00, 4095.00, 0.00, 47841.00, 8388607.00
962.00, 0.00, 4095.00, 0.00, 47891.00, 8388607.00
973.00, 0.00, 4095.00, 0.00, 47951.00, 8388607.00
984.00, 0.00, 4095.00, 0.00, 47943.00, 8388607.00
995.00, 0.00, 4095.00, 0.00, 47926.00, 8388607.00
6.00, 0.00, 4095.00, 0.00, 47902.00, 8388607.00
17.00, 0.00, 4095.00, 0.00, 47916.00, 8388607.00
28.00, 0.00, 4095.00, 0.00, 47834.00, 8388607.00
38.00, 0.00, 4095.00, 0.00, 47731.00, 8388607.00
44.00, 0.00, 4095.00, 0.00, 47697.00, 8388607.00
55.00, 0.00, 4095.00, 0.00, 47740.00, 8388607.00
72.00, 0.00, 4095.00, 0.00, 47983.00, 8388607.00
83.00, 0.00, 4095.00, 0.00, 48025.00, 8388607.00
